title,url,error
"NPP Primaries: Bawumia stretches lead, projected to win 15 out of 16 regions in new poll",https://www.ghanaweb.com/GhanaHomePage/politics/NPP-Primaries-Bawumia-stretches-lead-projected-to-win-15-out-of-16-regions-in-new-poll-2010875,False
Chief Justice urges Ghanaians to adopt Alternative Dispute Resolution,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Chief-Justice-urges-Ghanaians-to-adopt-Alternative-Dispute-Resolution-2010929,False
Speaker Bagbin receives Mahatma Ghandi award for contributing to world unity,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Speaker-Bagbin-receives-Mahatma-Ghandi-award-for-contributing-to-world-unity-2010973,False
Group demands removal of Special Prosecutor Kissi Agyebeng,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Group-demands-removal-of-Special-Prosecutor-Kissi-Agyebeng-2010944,False
"3 Chinese nationals, Ghanaians attacked at gunpoint along Bibiani-Goaso Highway",https://www.ghanaweb.com/GhanaHomePage/crime/3-Chinese-nationals-Ghanaians-attacked-at-gunpoint-along-Bibiani-Goaso-Highway-2010935,False
Dr Opoku Prempeh defends remarks about 'God sleeping at night',https://www.ghanaweb.com/GhanaHomePage/politics/Dr-Opoku-Prempeh-defends-remarks-about-God-sleeping-at-night-2010891,False
NHIS uncapped with prompt release of funds into NHIS accounts - Akandoh,https://www.ghanaweb.com/GhanaHomePage/health/NHIS-uncapped-with-prompt-release-of-funds-into-NHIS-accounts-Akandoh-2010986,False
Ghana reaffirms development priorities at AU-EU partnership at Luanda Summit,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Ghana-reaffirms-development-priorities-at-AU-EU-partnership-at-Luanda-Summit-2010950,False
'NDC will definitely win back the seat' – Eric Adjei on Kpandai rerun,https://www.ghanaweb.com/GhanaHomePage/politics/NDC-will-definitely-win-back-the-seat-Eric-Adjei-on-Kpandai-rerun-2010945,False
2 arrested by IGP special operations team in Tamale,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/2-arrested-by-IGP-special-operations-team-in-Tamale-2010918,False
Conduct lifestyle audits that does not target innocent people – Kufuor,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Conduct-lifestyle-audits-that-does-not-target-innocent-people-Kufuor-2010913,False
'No gold is worth a life' - Sammy Gyamfi backs NAIMOS' anti-galamsey campaign,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/No-gold-is-worth-a-life-Sammy-Gyamfi-backs-NAIMOS-anti-galamsey-campaign-2010849,False
Watch as Afenyo-Markin lights up Effutu with vibrant dance moves,https://www.ghanaweb.com/GhanaHomePage/politics/Watch-as-Afenyo-Markin-lights-up-Effutu-with-vibrant-dance-moves-2010857,False
NPP Flagbearership Race: Politics must impact lives – Dr Osei Adutwum,https://www.ghanaweb.com/GhanaHomePage/politics/NPP-Flagbearership-Race-Politics-must-impact-lives-Dr-Osei-Adutwum-2010977,False
Refugees admitted to US under Biden face reinterviews by Trump administration,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Refugees-admitted-to-US-under-Biden-face-reinterviews-by-Trump-administration-2010847,False
'I will win Kpandai seat again if there's a rerun' – NPP MP,https://www.ghanaweb.com/GhanaHomePage/politics/I-will-win-Kpandai-seat-again-if-there-s-a-rerun-NPP-MP-2010870,False
'No gold is worth a life' - Sammy Gyamfi backs NAIMOS' anti-galamsey campaign,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/No-gold-is-worth-a-life-Sammy-Gyamfi-backs-NAIMOS-anti-galamsey-campaign-2010849,False
Watch as Afenyo-Markin lights up Effutu with vibrant dance moves,https://www.ghanaweb.com/GhanaHomePage/politics/Watch-as-Afenyo-Markin-lights-up-Effutu-with-vibrant-dance-moves-2010857,False
NPP Flagbearership Race: Politics must impact lives – Dr Osei Adutwum,https://www.ghanaweb.com/GhanaHomePage/politics/NPP-Flagbearership-Race-Politics-must-impact-lives-Dr-Osei-Adutwum-2010977,False
Refugees admitted to US under Biden face reinterviews by Trump administration,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Refugees-admitted-to-US-under-Biden-face-reinterviews-by-Trump-administration-2010847,False
'I will win Kpandai seat again if there's a rerun' – NPP MP,https://www.ghanaweb.com/GhanaHomePage/politics/I-will-win-Kpandai-seat-again-if-there-s-a-rerun-NPP-MP-2010870,False
"Pan Africa Clergy Council urges Parliament to act swiftly on LGBTQ+ bill, galamsey",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Pan-Africa-Clergy-Council-urges-Parliament-to-act-swiftly-on-LGBTQ-bill-galamsey-2010901,False
Adutwum camp questions NPP aspirants challenging proxy voting ban,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Adutwum-camp-questions-NPP-aspirants-challenging-proxy-voting-ban-2010938,False
Kasoa-Winneba road will be ready by June 2026 - Kwame Agbodza,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Kasoa-Winneba-road-will-be-ready-by-June-2026-Kwame-Agbodza-2010881,False
"Be transparent, accountable in managing state resources - Speaker to public servants",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Be-transparent-accountable-in-managing-state-resources-Speaker-to-public-servants-2010934,False
Patricia Adusei-Poku speaks on risks and benefits of cross-border data flows,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Patricia-Adusei-Poku-speaks-on-risks-and-benefits-of-cross-border-data-flows-2010939,False
Former First Lady Nana Konadu Agyeman-Rawlings is dead,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Former-First-Lady-Nana-Konadu-Agyeman-Rawlings-is-dead-2006414,False
Former First Lady Nana Konadu Agyeman-Rawlings hospitalised at Ridge Hospital,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Former-First-Lady-Nana-Konadu-Agyeman-Rawlings-hospitalised-at-Ridge-Hospital-2006415,False
President Mahama names new Chief Justice,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/President-Mahama-names-new-Chief-Justice-2001945,False
'NDC will definitely win back the seat' – Eric Adjei on Kpandai rerun,https://www.ghanaweb.com/GhanaHomePage/politics/NDC-will-definitely-win-back-the-seat-Eric-Adjei-on-Kpandai-rerun-2010945,False
NPP Minority raises concerns over sanitary pads expenditure in budget,https://www.ghanaweb.com/GhanaHomePage/politics/NPP-Minority-raises-concerns-over-sanitary-pads-expenditure-in-budget-2011008,False
Dr Ayew Afriye raises alarm over government's failure to prevent Zipline shutdown,https://www.ghanaweb.com/GhanaHomePage/politics/Dr-Ayew-Afriye-raises-alarm-over-government-s-failure-to-prevent-Zipline-shutdown-2010997,False
Watch as some residents of Atwima-Nwabiagya North pour rubbish into flowing water,https://www.ghanaweb.com/GhanaHomePage/regional/Watch-as-some-residents-of-Atwima-Nwabiagya-North-pour-rubbish-into-flowing-water-2010962,False
Oseneso residents dethrone chief over alleged involvement in illegal mining,https://www.ghanaweb.com/GhanaHomePage/regional/Oseneso-residents-dethrone-chief-over-alleged-involvement-in-illegal-mining-2011007,False
3 arrested for stealing from accident-truck in Kwahu West,https://www.ghanaweb.com/GhanaHomePage/regional/3-arrested-for-stealing-from-accident-truck-in-Kwahu-West-2010985,False
2 suspected armed robbers lynched after allegedly killing 'okada' rider,https://www.ghanaweb.com/GhanaHomePage/crime/2-suspected-armed-robbers-lynched-after-allegedly-killing-okada-rider-2010946,False
Police nab Obuase Abompe 'girlfriend killer',https://www.ghanaweb.com/GhanaHomePage/crime/Police-nab-Obuase-Abompe-girlfriend-killer-2010965,False
2 sentenced to life imprisonment for 2017 Lapaz police shooting,https://www.ghanaweb.com/GhanaHomePage/crime/2-sentenced-to-life-imprisonment-for-2017-Lapaz-police-shooting-2010936,False
Egyapa Mercer clashes with Garu MP on TV over Ghana's E-Health future,https://www.ghanaweb.com/GhanaHomePage/health/Egyapa-Mercer-clashes-with-Garu-MP-on-TV-over-Ghana-s-E-Health-future-2010954,False
NHIS uncapped with prompt release of funds into NHIS accounts - Akandoh,https://www.ghanaweb.com/GhanaHomePage/health/NHIS-uncapped-with-prompt-release-of-funds-into-NHIS-accounts-Akandoh-2010986,False
UHAS Alumni Association highlight’s critical role of sports medicine in national development,https://www.ghanaweb.com/GhanaHomePage/health/UHAS-Alumni-Association-highlight-s-critical-role-of-sports-medicine-in-national-development-2010984,False
President Mahama hasn’t asked contractor on Accra–Kumasi bypass to stop work - Roads minister,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/President-Mahama-hasn-t-asked-contractor-on-Accra-Kumasi-bypass-to-stop-work-Roads-minister-2011006,False
President Mahama extends IGP Yohuno’s tenure by 2 years,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/President-Mahama-extends-IGP-Yohuno-s-tenure-by-2-years-2011005,False
Wesley Girls' Controversy: CenPOA weighs in on 'discriminatory' religious policies,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Wesley-Girls-Controversy-CenPOA-weighs-in-on-discriminatory-religious-policies-2010999,False
